id,username,text,likes,retweets,replies,total_interactions,post_date_iso,text_length,word_count,sentiment_label,link
8,Justa_poz,"Pani Olgo, Pani słowa dodają nam wszystkim siły❤️ i przypominają, po co warto walczyć. Dziękuję za nadzieję, zaufanie i wiarę dla naszego PREZYDENTA, który wygrał te #Wybory2025",0,0,1,1,10-06-25,177,27,,https://nitter.net/Justa_poz/status/1932304987381707195#m
10,tyczynski_k,#SilniRazem i tak wiedzą swoje. Internetowe trolle z Giertychem i Lisem na czele dalej będą podsycać nastroje lansując spiskową teorię o sfałszowanych wyborach. #WyboryPrezydenckie2025 #wybory2025,0,0,0,0,10-06-25,196,25,,https://nitter.net/tyczynski_k/status/1932364379074220292#m
13,szeweq,"nitter.net/i/grok/share/etzkyYxcx… Nie wiem, jak to opisać, ale jak każdy coś woli od siebie dodać, to zapraszam. #wybory2025",0,0,0,0,10-06-25,125,17,,https://nitter.net/szeweq/status/1932360691572171122#m
15,_degenerat,Co naprawdę oznacza wpis Tomasza Lisa o przeliczeniu głosów? Dlaczego żadna partia nie chce dotykać tego tematu? I co to mówi o stanie polskiej demokracji? Nowy tekst do przeczytania tu 👇🏼 #polityka #media #Wybory2025,0,0,0,0,10-06-25,217,34,,https://nitter.net/_degenerat/status/1932359055151911128#m
3,idzpodpradpl,"Już dziś o 13:00 w #IPPTVNaŻywo: ➡️ Niemcy szykują się na wojnę, budują schrony, a my? ➡️ Polska rezygnuje ze śmigłowców Black Hawk. Dlaczego? ➡️ Czy wybory w Polsce są zabezpieczone? Gościem będzie dr Tomasz Pawłuszko! #wybory2025 #BezpiecznaPolska",0,2,1,3,10-06-25,249,38,,https://nitter.perennialte.ch/idzpodpradpl/status/1932387529749397827#m
7,PawelETG,Od zera do bohatera! Kandydat na prezydenta opowiada o swojej przeszłości jako ochroniarz. Czy jego historia zainspiruje wyborców? #OdZeraDoBohatera #Prezydentura #Wybory2025,0,0,0,0,10-06-25,174,21,,https://nitter.perennialte.ch/PawelETG/status/1932384088352076073#m
8,idzpodpradpl,Wybranie Jezusa to decyzja polityczna! Komentuje pastor @PawelChojecki. Więcej w #IPPTVNaŻywo: youtube.com/live/EzE04rL1PRc #Wybory2025 #Nawrócenie #Jezus #Chrześcijaństwo #Polska,0,14,4,18,09-06-25,179,17,,https://nitter.perennialte.ch/idzpodpradpl/status/1932135610099314738#m
273,Czarnobrody1986,"Po wielu naciskach władza w końcu się ruszyła. Może nie wszystko stracone — jest jeszcze szansa, by uratować te wybory. #Wybory2025 #PresjaMaSens",0,0,0,0,10-06-25,145,22,,https://nitter.perennialte.ch/Czarnobrody1986/status/1932396426538926110#m
1,szykom89,"Tu nie ma teraz co debatować. Trzeba po prostu powtórzyć nielegalne, sfałszowane i skręcone przez @pisorgpl #PiS wybory prezydenckie. #Wybory2025 #nawrocki #WyboryPrezydenckie2025 #Prezydent @PanstwKomWyb #Prezydent2025 #PKW @prezydentpl #SfałszowaneWybory #PrzeliczmyGlosy",0,1,0,1,10-06-25,273,29,,https://nitter.net/szykom89/status/1932420269458755586#m
2,AndrzejOlkiewi,Żona #Trzaskowskiego menedżerem produkcji prorosyjskiej manipulacji wymierzonej w #Nawrockiego. #WyboryPrezydenckie2025 #NawrockiPrezydent2025 #Nawrocki2025 #Wybory2025 #debataprezydencka #debatasuperexpress #debataRepubliki #Trzaskowski2025 #MałgorzataTrzaskowska 🤦,2,49,0,51,29-04-25,266,19,,https://nitter.net/AndrzejOlkiewi/status/1917255120221360332#m
3,Dr_Ewa_,"Kiedyś Niemcy wchodzili do Polski czołgami. Teraz robią to przepisami klimatycznymi i dotacjami z gwiazdką. Historia lubi wracać - tylko mundury inne. To im zależy na ""swoim człowieku"" w polskim pałacu. KN nie jest im na rękę. #HistoriaLubiSiePowtarzac #PolskaPamięta #Wybory2025",0,1,0,1,09-06-25,279,40,,https://nitter.net/Dr_Ewa_/status/1932069799867122093#m
5,BuszNetpl,#Pegasus = zjawisko rozproszonej odpowiedzialności. #Wybory2025 = #PrzeliczmyGlosy Co u mnie? = Głowa mnie boli.,0,0,0,0,10-06-25,112,15,,https://nitter.net/BuszNetpl/status/1932415468117041606#m
