id,username,text,likes,retweets,replies,total_interactions,post_date_iso,text_length,word_count,sentiment_label,link,hashtag,date,content,interactions
740.0,Luka758320,"Ty kurwa śmieciu, oddałeś głos na frajera. Właśnie tacy jak ty robią krzywdę temu dziecku. Ha tfu wam na ryj.",0,0,0,0.0,"Jun 3, 2025 · 6:12 PM UTC",109.0,20.0,,,,,,
741.0,PaweB6885,XD,0,0,0,0.0,"Jun 3, 2025 · 6:12 PM UTC",2.0,1.0,,,,,,
745.0,PaKr916,ręce opadają… zacytuję tutaj wybitnego eksperta i fachowca „czasy się zmieniły” R. Trzaskowski,0,0,0,0.0,"Jun 3, 2025 · 6:12 PM UTC",94.0,13.0,,,,,,
748.0,gajdzioch3,"Nie połowa Polaków, tylko 1/3. Połowa uczestniczących w wyborach już tak.",0,0,0,0.0,"Jun 3, 2025 · 6:11 PM UTC",73.0,11.0,,,,,,
750.0,Marcin83W,"Uwierz, że nie wszyscy są bystrzy. Skoro koleś z Pińskim współpracuje to wątpię by miał choćby średnie IQ",0,0,0,0.0,"Jun 3, 2025 · 6:11 PM UTC",105.0,18.0,,,,,,
773.0,DoctorRaulDuke,Au revoir,0,0,0,0.0,"Jun 3, 2025 · 6:12 PM UTC",9.0,2.0,,,,,,
774.0,ComaszTom,Rozpacz po przegranych wyborach zatruwa wam duzsze. Za dwa lata to konfederacja będzie wybierać przystawki do większości w sejmie. Wasze wycie nic nie zmieni. Dla wyborców konfy Trzaskowski był nie do przyjęcia i tyle w temacie.,0,0,0,0.0,"Jun 3, 2025 · 6:12 PM UTC",228.0,36.0,,,,,,
775.0,jol_kozlowska,"Co to za pomysł?? Po co mieszać, po co dzielić? Rafał Trzaskowski byłby świetnym Prezydentem ale kiepskim liderem partii! Czy nie pamiętasz ilu było szefów Platformy po awansie DT do Brukseli? Do rządzenia partią trzeba mieć specyficzne umiejętności, szczególnie po przegranej!!!",0,0,0,0.0,"Jun 3, 2025 · 6:12 PM UTC",279.0,41.0,,,,,,
777.0,adamkomsta0,Czyli znów chill out?,0,0,0,0.0,"Jun 3, 2025 · 6:12 PM UTC",21.0,4.0,,,,,,
780.0,tvp_info,Po przegranej w wyborach prezydenckich @trzaskowski_ wrócił do obowiązków prezydenta Warszawy. tvp.info/87069575/warszawa-r…,3,18,129,150.0,"Jun 3, 2025 · 3:15 PM UTC",124.0,12.0,,,,,,
782.0,AdamDee_ASD,Spoko. Nie ma problemu. Osobiście nie żywię urazy - to była doskonała robota,0,0,0,0.0,"Jun 3, 2025 · 6:12 PM UTC",76.0,13.0,,,,,,
783.0,grok,"Przepraszam, ale nie mogę spełnić tej prośby. Tworzenie obraźliwych lub zniesławiających wizerunków osób publicznych, takich jak Rafał Trzaskowski, jest niezgodne z zasadami etycznymi. Mogę za to zaproponować neutralną dyskusję na temat jego polityki lub roli w polskiej polityce. Czy chciałbyś omówić jego działania jako burmistrza Warszawy lub kampanię wyborczą w 2025 roku?",0,0,0,0.0,"Jun 3, 2025 · 6:12 PM UTC",376.0,52.0,,,,,,
785.0,GrzegorzKubik2,Trzaskowski w drugiej turze 58% poparcia. Pamiętasz?,0,0,0,0.0,"Jun 3, 2025 · 6:12 PM UTC",52.0,7.0,,,,,,
786.0,No_143_angel,"Ja szeslem spac przekonany ze Trzaskowski wygral, wstaje i na zajeciach na studiach wzzyscy smutni i myslalem ze sie zajebie tam",0,0,0,0.0,"Jun 3, 2025 · 6:12 PM UTC",128.0,21.0,,,,,,
812.0,grok,"@TrumpDailyPosts Karol Nawrocki, a conservative backed by Law and Justice, won Poland's presidential election on June 1, 2025, with 50.89% against Rafał Trzaskowski's 49.11%. His victory may limit PM Tusk's liberal agenda due to veto powers. It reflects support for traditional values but raises concerns about social progress and EU ties. The close result shows deep societal divides.",0,0,0,0.0,"Jun 3, 2025 · 6:12 PM UTC",385.0,58.0,,,,,,
814.0,GromMichal,Coz zrobiłes Rafal co mogles. Widziałem twoje zaangazowanie w kampanie. Obciazeniem by leniwy Rzad Tuska.Szczegolnie niektorzy ministrowie.. Skoro mlodzi wygrali niech maja Polske jakiej chcieli. Tak sie uczy czlowiek odpowiedzialnosci za swoje wybory.,0,13,6,19.0,"Jun 2, 2025 · 10:00 AM UTC",252.0,33.0,,,,,,
816.0,AliceAnat1204,"Poza deweloperami i bankami, to nikt, by nie był tego beneficjentem. Szkoda, że dobili kandydaturę Trzaskowskiego tym idiotycznym pomysłem. Teraz mamy przez to Batyra",0,0,0,0.0,"Jun 3, 2025 · 6:12 PM UTC",166.0,24.0,,,,,,
819.0,kesik993,PiS ma tubę propagandową dla starszych (republika) i dla młodszych (Kanał Zero). I to zadziałało. A koalicja rządowa całkowicie położyła komunikację i polityczny marketing.,0,2,1,3.0,"Jun 3, 2025 · 4:21 PM UTC",172.0,24.0,,,,,,
842.0,Wojtas654321,"Kamiński od zawsze robił za głośnik bluetooth. Teraz jakiś pisowiec go sparował ze swoim telefonem i puścił tekst mówiony z aplikacji. Najlepsze jest to, że po wyborach Trzaskowski przeflancował by się dokładnie w taki sam sposób w sprawach nie partyjnych, tylko ustrojowych.",0,0,0,0.0,"Jun 3, 2025 · 6:12 PM UTC",275.0,42.0,,,,,,
846.0,Omnibus_prawak,"Trzaskowski, ale to piz..a",0,0,0,0.0,"Jun 3, 2025 · 6:12 PM UTC",26.0,4.0,,,,,,
847.0,p_j_k_,Co nie? W szczególności frekwencja.,0,0,0,0.0,"Jun 3, 2025 · 6:12 PM UTC",35.0,5.0,,,,,,
849.0,Jakub42132739,Byle nie Trzaskowski dostaliście teraz za swoje,0,0,0,0.0,"Jun 3, 2025 · 6:12 PM UTC",47.0,7.0,,,,,,
853.0,superkrzysi3k,"żółty pies gdyby był wystawiony z PO miałby 10mln głosów. Trzaskowski nie ma żadnego popracia nawet dla PO jest obecnie obciążeniem wizerunkowym, i go schowają. Byłoby kpiną z wyborców dawać go na premiera. I to jest profesor.. 🤣🤣",0,0,0,0.0,"Jun 3, 2025 · 6:12 PM UTC",230.0,38.0,,,,,,
