id,username,text,likes,retweets,replies,total_interactions,post_date_iso,text_length,word_count,sentiment_label
265,PrawaStronaa,"Karol Nawrocki przygotowuje pozwy dla ludzi którzy publicznie w kampanii nazywali go ""gangusem"" i ""sutenerem""",28,569,327,924,"Jun 4, 2025 · 2:47 PM UTC",109,15,
266,MarioAwario,Wiecie dlaczego #Rumunia i #Rumuni wygrali z czopkiem Putina? Bo media się nie ugięły Zaprosiły na debaty na swoich zasadach Simon uciekał jak Nawrocki z 4 debat? Ale tam debaty dochodziły do skutku tylko zostawało puste krzesło🪑! Przestańcie się cackac z PiS owcami! #Media,3,205,19,227,"May 20, 2025 · 10:10 AM UTC",274,44,
267,jachcy,Karol Nawrocki będzie mial immunitet⁉ To może chociaż rozliczmy jego żonę🤡,3,37,32,72,"Jun 4, 2025 · 6:49 PM UTC",74,11,
268,Amabelinka,"Będzie innym prezydentem niż Duda. Nawrocki będzie mieć łatwiej bo wie jak podła była polskojęzyczna hołota wobec prezydenta RP. Np najazd na pałac prezydencki podczas gdy prezydent był w Belwederze i jednoczesne zablokowanie wyjazdu stamtąd przez ""zepsuty bus"". Wymiana kretów!",0,0,0,0,"Jun 4, 2025 · 6:57 PM UTC",278,40,
269,UpdateNews724,"BREAKING: The new President of Poland, Karol Nawrocki, called on the European Union to respect the sovereignty of European nations and Christian values.",87,2375,288,2750,"Jun 3, 2025 · 2:52 PM UTC",152,23,
270,tomalxbr,"Le nouveau président polonais, Karol Nawrocki, a appelé l'Union européenne à respecter la souveraineté des nations européennes et les valeurs chrétiennes.",5,151,14,170,"Jun 4, 2025 · 12:35 PM UTC",154,21,
271,Zosia99363505,"Czy to zmuszanie nas do Kłamstwa? Mamy udawać, że Nawrocki, to porządny i przyzwoity gość? Za Oszusta, Lichwiarza, Złodzieja naszej kasy - za De Lux i Kawalerkę w Warszawie, Kibola i Ćpuna, pozwów nie będzie więc mamy sporo możliwości Przy Dudzie, był tylko Debil, skromnie",0,9,7,16,"Jun 4, 2025 · 6:13 PM UTC",273,45,
272,UpdateNews724,"BREAKING NEWS: Poland’s new President Nawrocki’s call after being elected: ""We will Make Europe Great Again, because Europe deserves it!""",17,724,112,853,"Jun 3, 2025 · 6:04 PM UTC",137,20,
273,robyfrancy94,"Considerando che la vittoria di #Nawrocki che eserciterà il veto sbarrandogli le riforme liberal e giudiziarie, è possibile che il voto di fiducia richiesto da #Tusk (cf.nitter.net/robyfrancy94/status/19…) preluda a elezioni anticipate per non farsi cucinare lentamente al governo?",0,0,0,0,"Jun 4, 2025 · 6:57 PM UTC",281,38,
274,ElaPabisiak,"„Spokojnie, bez paniki…Już po północy( albo trochę później) prezydentem będzie Karol Nawrocki !!!",0,0,0,0,"Jun 4, 2025 · 6:57 PM UTC",97,13,
275,HubnerrMax,"Czegoś takiego jeszcze nie było! Prezydent Elekt Karol Nawrocki dostał mnóstwo gratulacji od zagranicznych przywódców na X, a my mielismy zaszczyt obserwować jego odpowiedzi. Doskonałe, inteligentne i wskazujące na twardy kierunek polityki zagranicznej. Zapraszam na nitkę.",7,178,13,198,"Jun 4, 2025 · 4:35 PM UTC",273,36,
276,VirginiePerez15,"🫶Donald Trump félicite le peuple polonais sur Social Truth suite à la victoire du candidat pro-Trump Karol Nawrocki Un message écrit en lettres capitales sur Truth ""UN ALLIÉ DE TRUMP GAGNE EN POLOGNE, TOUTE L'EUROPE EST SOUS LE CHOC. C'est une immense nouvelle! Félicitations à la Pologne, vous avez choisi un GAGNANT !""",1,53,9,63,"Jun 3, 2025 · 7:35 PM UTC",320,53,
277,PierreMarionnet,"Karol Nawrocki, le nouveau président polonais, exige qu'Ursula et l'UE respectent la souveraineté des nations européennes et les valeurs chrétiennes. Bravo. Ca part fort !",64,2666,204,2934,"Jun 3, 2025 · 6:10 PM UTC",171,25,
