id,username,text,likes,retweets,replies,total_interactions,post_date_iso,text_length,word_count,sentiment_label
1,Monika_TeoriaZ,"Nie wolno pisać, że Nawrocki jest prezydentem PiS. To jest prezydent PiS i Konfederacji. To ci ludzie upokorzyli Polskę i Polaków na arenie krajowej i międzynarodowej. I przestańmy się bawić w konwenanse!",5,121,6,132,"Jun 3, 2025 · 4:41 AM UTC",204,32,
2,Robert06270082,Nie. On nie robi z siebie idioty. On celowo i świadomie kłamie i manipuluje. I dzięki takiemu jak on oraz bierności służb informacyjnych @KPRM_CIR będzie dalej to robić. To m. in. dzięki niemu wygrał Nawrocki a za chwilę upadnie obecny rząd,0,11,3,14,"Jun 3, 2025 · 10:39 AM UTC",240,41,
3,CilComLFC,"Poland’s new President Karol Nawrocki: - Described as patriotic, pro-Christian and supportive of Donald Trump. - Opposes abortion and same-sex marriage. - Opposes the sexualization of children by LGBT groups. - Plans to build Deportation Centres. Poland has been SAVED!",30,1077,172,1279,"Jun 2, 2025 · 7:48 PM UTC",269,40,
4,WelatInfo,infowelat.com/hilbijartina-p… Namzetê mihefezakar-netewperest Karol Nawrocki di hilbijartina serokatîa Polonyayê de bi ser ket. Serkeftina Nawrocki tirsa restorasyona polîtîk a li Polonyayê xist dilê Yekitîya Ewrûpayê. #Poland #KarolNawrocki #Polonya #Polîtîka,0,0,0,0,"Jun 3, 2025 · 8:48 AM UTC",260,29,
5,rrad907,"PILNE: Nowy prezydent Polski, Karol Nawrocki, domaga się, by Ursula i UE szanowały suwerenność państw europejskich oraz wartości chrześcijańskie. Polska prowadzi z pierwszego szeregu.",0,2,0,2,"Jun 3, 2025 · 12:01 PM UTC",183,24,
6,DolinaRoztoki,Jakby komuś do głowy przychodziły myśli w stylu: dajmy szansę nowemu prezydentowi. Niech dokładnie proprzegląda co jego zaplecze pisało nas w kampanii. #Nawrocki,2,21,5,28,"Jun 3, 2025 · 9:15 AM UTC",161,23,
7,TELADOIOLANIUS,"Hanno già annullato le elezioni in #Polonia ? Nessun giudice s'è ancora mosso per destituire uno a cui piace lo sport, le donne e Trump? #LaRepubblica l'ha già destituito. #Nawrocki",0,5,1,6,"Jun 3, 2025 · 11:44 AM UTC",181,30,
8,Agniesz99241049,"Nie, to wasi pisali. Jeden nawet napisał że Nawrocki zrobił dawna. Nikt nie uderza w dzieci tylko wy.",0,0,0,0,"Jun 3, 2025 · 12:59 PM UTC",101,18,
9,nawrocki_mati,pisze to alimenciarz xdddd,0,0,0,0,"Jun 3, 2025 · 12:59 PM UTC",26,4,
10,Andruszkiewicz1,"W gminie Kulesze Kościelne w woj. Podlaskim, Karol Nawrocki uzyskał 93% poparcia. Warto brać przykład Podlaskie górą",1,51,30,82,"Jun 3, 2025 · 12:02 PM UTC",116,17,
11,Inevitablewest,BREAKING: New Polish President Karol Nawrocki demands Ursula & the EU respects European nations sovereignty and Christian values Poland is leading from the front.,23,571,79,673,"Jun 3, 2025 · 11:57 AM UTC",162,24,
12,ToNiePrzejdzie,"Okres pracy Nawrockiego w Grand Hotelu przypada kilka lat później, tj w 2006-2007 r. gdy Nawrocki był na studiach. Ukończył je w 2008. Nawroccy byli więc ze sobą od kilku lat, gdy Karol trudnił się sutenerstwem. Pamiętajmy też że do tej branży nie wchodzi się z ulicy. (2/4",0,5,1,6,"Jun 3, 2025 · 9:57 AM UTC",273,48,
13,JNS_org,", ’ — Poland elected Karol Nawrocki, a right-wing historian who curbed discussions on Polish Holocaust involvement. His presidency could challenge EU & Israel relations and challenge historical narratives. REPORT | Canaan Lidor @hebrish eu1.hubs.ly/H0kG7Xp0 Screenshot",0,0,0,0,"Jun 3, 2025 · 9:30 AM UTC",268,36,
14,pfigueiredo08,"Apesar de toda parcialidade do judiciário, da influência globalista (com direito a dinheiro de Soros, Clinton e Obama), da perseguição política que chegou a botar até padre na cadeia, o candidato da direita Nawrocki foi eleito presidente da Polônia com 50.9% dos votos. É uma das eleições mais importantes da Europa pois é o país no limite do continente, extremamente religioso e fiel da balança da EU. Falarei mais amanhã!",14,1830,125,1969,"Jun 2, 2025 · 1:05 PM UTC",423,70,
15,AdamMoczar,"Polish conservative walks across debate stage to his liberal opponent, places an LGBT flag on his podium and says “Here, here is your flag” This great patriot is Karol Nawrocki, elected president of Poland. 🥳",64,1677,191,1932,"Jun 2, 2025 · 6:49 PM UTC",208,35,
16,Load newest,Brak treści,0,0,0,0,,11,2,
17,CilComLFC,BREAKING: EU chief Ursula von der Leyen is reportedly “panicking” after Poland’s Presidential Election was won by right-wing nationalist candidate Karol Nawrocki. She considers his victory to be a “threat” to the stability of the European Union. Sounds like good news to me!,455,7523,3005,10983,"Jun 2, 2025 · 5:04 PM UTC",274,43,
18,Cenckiewicz,"Pan Prezydent elekt dr Karol Nawrocki @NawrockiKn bez śladu zmęczenia, za to ja odpocząć muszę po tej kampanii :)",10,625,183,818,"Jun 3, 2025 · 7:48 AM UTC",113,19,
