id,username,text,likes,retweets,replies,total_interactions,post_date_iso,text_length,word_count,sentiment_label
1,Inevitablewest,BREAKING: New Polish President Karol Nawrocki demands Ursula & the EU respects European nations sovereignty and Christian values Poland is leading from the front.,50,1431,155,1636,"Jun 3, 2025 · 11:57 AM UTC",162,24,
2,CilComLFC,BREAKING: EU chief Ursula von der Leyen is reportedly “panicking” after Poland’s Presidential Election was won by right-wing nationalist candidate Karol Nawrocki. She considers his victory to be a “threat” to the stability of the European Union. Sounds like good news to me!,467,7751,3094,11312,"Jun 2, 2025 · 5:04 PM UTC",274,43,
3,PsyGuy007,"Karol Nawrocki a déclaré : « Ma Pologne est une Pologne sans migrants illégaux. C'est une Pologne où, au lieu de centres d'intégration, il y a des centres de déportation pour ceux qui veulent détruire notre sécurité. » Êtes-vous d’accord avec lui ? A. OUI B. NON",82,1213,1167,2462,"Jun 2, 2025 · 2:32 PM UTC",262,47,
4,WojPawelczyk,Fun fact: The new President of Poland Karol Nawrocki is a former boxer 🥊 Strong men create good times!,52,910,169,1131,"Jun 2, 2025 · 11:02 AM UTC",102,19,
5,rafafunt,Czyli Nawrocki wygrał wśród tych którzy nie mogli się wykształcić lub są młodzi i jeszcze nie ukończyli szkół? To co tłumaczy?,0,0,0,0,"Jun 3, 2025 · 2:00 PM UTC",126,21,
6,Sachinettiyil,"“We cannot remove crosses from Polish offices.” Karol Nawrocki, Poland’s new president",47,1589,140,1776,"Jun 2, 2025 · 1:49 AM UTC",86,12,
7,WojciechKucha10,Jak głosowali mali i średni przedsiębiorcy: Rafał Trzaskowski 37.5 % sławomir mentzen 19.9 % karol nawrocki 17.3 %. Głosowali na mentzena i nawrockiego ponieważ chcą niższych podatków. Słyszeli o 5 mentzena ? O antyunijnych i antyukraińskich wypowiedziach nawrockiego?,0,0,0,0,"Jun 3, 2025 · 2:00 PM UTC",268,38,
8,GregParis75017,"Od teraz przy każdej wizycie w Polsce jeśli będę na bazarku czy w małym sklepie, zanim cokolwiek kupię u takiego sprzedawcy poproszę zdjęcie karty wyborczej z pytaniem na kogo zagłosował? Jeśli zakreślił Nawrocki to niczego u takiej osoby nie kupię!",0,21,26,47,"Jun 3, 2025 · 10:02 AM UTC",249,40,
9,JimFergusonUK,"BREAKING: President Nawrocki: “In my Poland, we don’t build migrant integration centres — we build deportation centres for those who threaten our nation.” Poland has chosen strength. Poland is in safe hands. @NawrockiKn",38,1244,84,1366,"Jun 2, 2025 · 5:17 PM UTC",219,33,
10,The_Cactus_News,"Poland Elects: Because Who Needs Unity Anyway? She votes for the city boy, he votes for the farm boy - how quaint. Women fawn over Rafał Trzaskowski, while men rally behind Karol Nawrocki, because stereotypes are alive and well in Poland. The brainiacs with degrees are all about Trzaskowski, but farmers and employees know better, sticking with Nawrocki. And because libertarians love an authoritarian, they're all about Nawrocki too. It's a beautiful display of polarisation, with everyone neatly divided into their respective echo chambers. Nawrocki takes the lead, because who needs a unified Poland anyway? The country is just one big, happy, dysfunctional family - and they're all going to get along just fine, said no one ever. #polandelections #politics #electionresults",0,0,0,0,"Jun 3, 2025 · 2:00 PM UTC",778,121,
