id,username,text,likes,retweets,replies,total_interactions,post_date_iso,text_length,word_count,sentiment_label
1,HolinkaPis,"Daniel Nawrocki szczerze: Tusk źle trafił, bo tata jest twardzielem. A siostra dodawała całej rodzinie energii, siły i uśmiechu wpolityce.pl/polityka/731459…",0,62,1,63,"Jun 4, 2025 · 9:10 AM UTC",157,20,
2,ekazikowska,„Karol Nawrocki prezydentem Polski”.,8,285,47,340,"Jun 3, 2025 · 8:08 AM UTC",36,4,
3,Filip_36,"Moja prognoza II tury: 🟠 Trzaskowski 49,12% Nawrocki 50,88% Karol Nawrocki zostanie Prezydentem RP",15,40,62,117,"Apr 26, 2025 · 12:07 PM UTC",98,14,
4,tomek525,"Europa to grecka filozofia, rzymskie prawo i chrześcijańskie wartości...🫡 tylko tyle i AŻ TYLE @GiorgiaMeloni",8,443,18,469,"Jun 3, 2025 · 4:54 PM UTC",109,15,
5,modrzix,Nawrocki był w 1na1 u Tomasza Lisa 🤣,0,0,0,0,"Jun 4, 2025 · 11:09 AM UTC",36,8,
6,Inevitablewest,BREAKING: New Polish President Karol Nawrocki demands Ursula & the EU respects European nations sovereignty and Christian values Poland is leading from the front.,240,9055,661,9956,"Jun 3, 2025 · 11:57 AM UTC",162,24,
7,RM44590,Karol Nawrocki atakowany przez żydowski brukowiec.,0,39,7,46,"Jun 4, 2025 · 6:12 AM UTC",50,6,
8,WiktoriaKrasno2,Nawrocki u Stanowskiego. Takimi wypowiedziami może zapewni sobie 2 kadencję? Kto wie...,0,0,0,0,"Jun 4, 2025 · 11:09 AM UTC",87,12,
9,rshereme,"An important analysis of what happened in the Polish elections. Some commentators claim that nothing significant occurred — that one PiS-affiliated president, Nawrocki, will simply replace another, Duda. 1/n",13,255,40,308,"Jun 3, 2025 · 3:37 PM UTC",207,29,
10,TheDuranReal,"The Duran: Episode 2242 Poland elections, Nawrocki wins. Is he an Orban or a Meloni?",4,56,18,78,"Jun 4, 2025 · 6:18 AM UTC",84,15,
11,JimFergusonUK,BREAKING: NEW POLISH PRESIDENT CONFRONTS EU OVER SOVEREIGNTY & VALUES President Karol Nawrocki has issued a bold call for Brussels to respect the sovereignty of European nations and uphold Christian values. “Poland will not be dictated to. We will defend our traditions and our right to self-determination.” WHAT THIS MEANS: Poland is signaling a major shift in tone toward the EU Sovereignty and identity are back at the center of European politics Nawrocki is positioning Poland as a voice for cultural conservatism and national rights A new chapter begins — and Poland is stepping forward to lead it.,182,4366,476,5024,"Jun 3, 2025 · 1:14 PM UTC",603,98,
12,PierreMarionnet,"Karol Nawrocki, le nouveau président polonais, exige qu'Ursula et l'UE respectent la souveraineté des nations européennes et les valeurs chrétiennes. Bravo. Ca part fort !",48,2017,133,2198,"Jun 3, 2025 · 6:10 PM UTC",171,25,
13,CilComLFC,BREAKING: EU chief Ursula von der Leyen is reportedly “panicking” after Poland’s Presidential Election was won by right-wing nationalist candidate Karol Nawrocki. She considers his victory to be a “threat” to the stability of the European Union. Sounds like good news to me!,572,9588,3916,14076,"Jun 2, 2025 · 5:04 PM UTC",274,43,
14,WojciechowskavH,"Zdradziecka wobec Polski i Polaków polityka Donalda Tuska widoczna jest gołym okiem. Oczywiste jest też jego rozdygotanie. Większość Polaków zdecydowanie pokazała czerwoną kartkę polskiemu premierowi, który tak zabiegał o domknięcie chorego systemu, który stworzył.",0,20,3,23,"Jun 4, 2025 · 10:16 AM UTC",265,34,
15,TylkoWojtek1,Prezydent Nawrocki poradzi sobie bez takiego “wsparcia”.,0,0,0,0,"Jun 4, 2025 · 11:09 AM UTC",56,7,
16,Load newest,Brak treści,0,0,0,0,,11,2,
17,tomek525,"Żadnych rozmów z ZSL-em czy tzw. trzecią nogą Prawico, najpierw rozmowy o programie i gabinet cieni Na jesieni i tak będą wcześniejsze wybory, na które prezydent Nawrocki musi przygotować referenda, a do tego czasu #koalicja13grudnia zaśmierdnie jak gówno na trawniku",0,15,2,17,"Jun 4, 2025 · 8:37 AM UTC",267,40,
18,sandyN7777,Because the cabal thrives on chaos. Democraps are the minions of the cabal. What do you goyim not understand?,0,0,0,0,"Jun 4, 2025 · 11:08 AM UTC",109,19,
19,LCFreedomXXI,Doktor prezydent Nawrocki jak już,0,0,0,0,"Jun 4, 2025 · 11:08 AM UTC",33,5,
20,TheDuranReal,"The Duran: Episode 2242 Poland elections, Nawrocki wins. Is he an Orban or a Meloni?",4,56,18,78,"Jun 4, 2025 · 6:18 AM UTC",84,15,
21,eduardomenoni,| ÚLTIMA HORA: El nuevo presidente patriótica de Polonia Karol Nawrocki le exige a la progre Ursula y a la UE que respeten la soberanía de las naciones europeas y los valores cristianos. ¿Estás de acuerdo con este tremendo patriota?,18,1305,77,1400,"Jun 3, 2025 · 2:04 PM UTC",232,40,
22,eduardomenoni,"ÚLTIMA HORA: El nuevo presidente de Polonia, Karol Nawrocki, se une al movimiento de Trump: “HAREMOS QUE EUROPA VUELVA A SER GRANDE, porque eso es lo que Europa merece”",4,641,4,649,"Jun 3, 2025 · 4:29 PM UTC",168,29,
23,HolinkaPis,"Daniel Nawrocki szczerze: Tusk źle trafił, bo tata jest twardzielem. A siostra dodawała całej rodzinie energii, siły i uśmiechu wpolityce.pl/polityka/731459…",0,62,1,63,"Jun 4, 2025 · 9:10 AM UTC",157,20,
24,LuckyLoser1950,"Na @NawrockiKn głosowali też doktor Karol Nawrocki , doktor Andrzej Duda , profesor Andrzej Zybertowicz , profesor Andrzej Nowak , doktor Sławomir Mentzen itd. I co to ma do rzeczy ? Nic . Ciemnogród to nie ludzie , to ideologia . Życzę dalszych sukcesów naukowych .",0,0,0,0,"Jun 4, 2025 · 11:08 AM UTC",266,46,
25,Markus285044128,"Greetings from Poland. We have just elected a new president Karol Nawrocki. We hope the globalist Tusk regime will fall soon. Do the same in the UK. Throw the ""Red Knight"" Keir Starmer into a garbage bin!",0,0,0,0,"Jun 4, 2025 · 11:08 AM UTC",204,37,
26,kate_p45,"nitter.net/WojPawelczyk/status/19… ""My Poland is a Poland without illegal migrants. It is a Poland where instead of integration centers, there are deportation centers for those who want to destroy our safety”-Karol Nawrocki Every leader should prioritize their own citizens this way.",0,35,7,42,"Jun 2, 2025 · 12:42 PM UTC",283,40,
27,JimFergusonUK,BREAKING: NEW POLISH PRESIDENT CONFRONTS EU OVER SOVEREIGNTY & VALUES President Karol Nawrocki has issued a bold call for Brussels to respect the sovereignty of European nations and uphold Christian values. “Poland will not be dictated to. We will defend our traditions and our right to self-determination.” WHAT THIS MEANS: Poland is signaling a major shift in tone toward the EU Sovereignty and identity are back at the center of European politics Nawrocki is positioning Poland as a voice for cultural conservatism and national rights A new chapter begins — and Poland is stepping forward to lead it.,182,4366,476,5024,"Jun 3, 2025 · 1:14 PM UTC",603,98,
28,balawender1,"Same dobre wiadomości, koło poselskie KKP, Nawrocki nie zgodził się na Kuchcińskiego, Lidl wycofał się z Gietrzwałdu.",0,0,0,0,"Jun 4, 2025 · 11:08 AM UTC",117,17,
29,UpdateNews724,"BREAKING: The new President of Poland, Karol Nawrocki, called on the European Union to respect the sovereignty of European nations and Christian values.",72,2088,252,2412,"Jun 3, 2025 · 2:52 PM UTC",152,23,
30,Inevitablewest,"Polish President Nawrocki: ""My Poland is a Poland where instead of migrant integration centres, there’s deportation centres for those who want to destroy our country!"" Poland is in safe hands.",547,15070,1143,16760,"Jun 2, 2025 · 5:05 PM UTC",192,30,
31,ajsolorzano,"Karol Nawrocki, el polémico político apoyado por Trump que será el próximo presidente de Polonia e inquieta a la Unión Europea - BBC News Mundo bbc.com/mundo/articles/cvg70…",0,0,0,0,"Jun 4, 2025 · 11:08 AM UTC",173,26,
32,RomeoLew27,PANIE NAWROCKI ‼ POLACY ŻĄDAJĄ ABY PANA POSTĘPOWANIE BYŁO TAKIE JAK PANA FICO ‼‼‼ CO Z DEKLARACJA WPROWADZENIA REFERENDUM I DEMOKRACJI BEZPOŚREDNIEJ ‼ piped.video/k5BDtw8WBZI?si=VNAn…,0,0,0,0,"Jun 4, 2025 · 11:08 AM UTC",183,24,
33,Georg_Pazderski,"Der künftige Präsident Polens Karol Nawrocki: „Helfen wir anderen, aber kümmern wir uns zuerst um unsere eigenen Bürger. (…) Wenn ich Präsident werde, werde ich mich von einem einfachen, aber wichtigen Grundsatz leiten lassen: POLEN ZUERST .“ Wann haben Sie zuletzt ein solch klares Bekenntnis zum eigenen Volk und Land eines deutschen Politikers gehört",25,763,285,1073,"Jun 2, 2025 · 2:46 PM UTC",353,54,
