id,username,text,likes,retweets,replies,total_interactions,post_date_iso,text_length,word_count,sentiment_label
1,Vivek4real_,PRO #BITCOIN PRESIDENTIAL CANDIDATE NAWROCKI JUST WON THE POLISH ELECTION. HERE WE GO!!!,6,337,102,445,"Jun 2, 2025 · 8:09 AM UTC",88,13,
2,AEBPITOU,Poolse regering van de liberale premier Donald Tusk mag vooral sabotage verwachten van de nipt verkozen uiterst rechtse president Karol Nawrocki! Polen blijft 50/50 op de wip zitten tussen pro en contra EU. Dan is het moeilijk om politiek te bedrijven voor de 6de economie van EU.,0,0,0,0,"Jun 3, 2025 · 10:00 AM UTC",280,47,
3,CilComLFC,"Poland’s new President Karol Nawrocki: - Described as patriotic, pro-Christian and supportive of Donald Trump. - Opposes abortion and same-sex marriage. - Opposes the sexualization of children by LGBT groups. - Plans to build Deportation Centres. Poland has been SAVED!",24,875,136,1035,"Jun 2, 2025 · 7:48 PM UTC",269,40,
4,Inevitablewest,"Polish President Nawrocki: ""My Poland is a Poland where instead of migrant integration centres, there’s deportation centres for those who want to destroy our country!"" Poland is in safe hands.",378,10894,834,12106,"Jun 2, 2025 · 5:05 PM UTC",192,30,
5,Tomek946982,"Mocne słowa jak na kogoś, kogo środowisko śpiewa ""jebać PiS"", albo atakuje 10 letnią córkę Nawrockiego. Po prostu ludzie uznali, że Nawrocki ma tego szacunku dla innego człowieka więcej niż vicetusk.",0,0,0,0,"Jun 3, 2025 · 10:00 AM UTC",199,31,
6,_Afraniusz,"Mam pomysł. Chciałbym aby powstał DPS Działacze Przeciwko Sutenerowi Chodzilibyśmy wszędzie, gdzie się będzie pojawiał Nawrocki z takimi hasłami i transparentami. Niech nas pozwie w końcu. I niech sąd rozstrzygnie, czy to prawda. Ktoś by się zapisał?",0,5,0,5,"Jun 3, 2025 · 9:54 AM UTC",250,37,
7,cool_coaching,@carmenvalero20 cómo se le ocurre citar a 1) acusaciones que se han presentado para hundir al candidato presidencial Karol Nawrocki and la sucia campaña electoral como se fueran verdad!? 2) Rzeczpospolita es un periódico manipulado y de poca vergüenza. @TVRepublikapl,0,0,0,0,"Jun 3, 2025 · 10:00 AM UTC",267,40,
8,MarekWoch2,".Zgodnie z życzeniami w #Końskich 28 maja 2025 r. Prezydentem RP został dr Karol Nawrocki 🤗 W gminie Kąkolewnica, rozsławionej przez dr Marek Woch, dr Karol Nawrocki odniósł druzgocące zwycięstwo 85,8 proc. głosów zdobył w gminie Kąkolewnica (woj. lubelskie) dr Karol Nawrocki. Wieś Kąkolewnica stała się znana w tej kampanii wyborczej dzięki bezpartyjnemu kandydatowi na prezydenta Markowi Wochowi. Woch, który w błyskotliwy sposób ośmieszył na debacie TV Republika Szymona Hołownię, przed II turą poparł Karola Nawrockiego. Wyniki II tury wyborów w gminie Kąkolewnica podał na portalu X sam Marek Woch: Karol Nawrocki: 85,80% Rafał Trzaskowski: 14,20% Zwycięstwo Karola Nawrockiego było wręcz miażdżące. Po tym, jak przed drugą turą wyborów - w Końskich - Woch poparł Nawrockiego, mainstreamowi komentatorzy wyśmiewali to zdarzenie, wskazując na niewielką liczbę głosów zdobytych przez Wocha w I turze. Okazało się jednak, że w II turze - gdy dosłownie liczył się każdy głos - poparcie Nawrockiego przez Wocha było na wagę złota - Niezalezna.pl #MarekWoch Marek Woch - Kandydat na Prezydenta Rzeczypospolitej Polskiej 2025 Moja Miejscowość Kąkolewnica #KarolNawrocki #PrezydentRP niezalezna.pl/polityka/w-gmi… @niezaleznapl",2,115,29,146,"Jun 2, 2025 · 1:20 PM UTC",1225,174,
9,pfigueiredo08,"Apesar de toda parcialidade do judiciário, da influência globalista (com direito a dinheiro de Soros, Clinton e Obama), da perseguição política que chegou a botar até padre na cadeia, o candidato da direita Nawrocki foi eleito presidente da Polônia com 50.9% dos votos. É uma das eleições mais importantes da Europa pois é o país no limite do continente, extremamente religioso e fiel da balança da EU. Falarei mais amanhã!",14,1759,120,1893,"Jun 2, 2025 · 1:05 PM UTC",423,70,
10,Baba_Yaga_bummm,O jaaa. Spierdalajo🥰 Dziękujemy Nawrocki. Pizda z Ukrainca 🥳🥳🥳,0,25,32,57,"Jun 3, 2025 · 7:19 AM UTC",62,9,
11,Ad_Vitam44_,"« Ma Pologne, c’est une Pologne sans immigration illégale. Ce n’est pas de centres d’intégration que nous avons besoin, mais de centres de déportation pour ceux qui menacent notre sécurité. » Karol Nawrocki Nous devons faire la même chose en France, partout en Europe , et maintenant……….. 🤍",3,77,9,89,"Jun 3, 2025 · 5:17 AM UTC",290,48,
12,AdamMoczar,"Polish conservative walks across debate stage to his liberal opponent, places an LGBT flag on his podium and says “Here, here is your flag” This great patriot is Karol Nawrocki, elected president of Poland. 🥳",46,1234,146,1426,"Jun 2, 2025 · 6:49 PM UTC",208,35,
13,RadioWNET,"„Wśród elit unijnych pojawiają się głosy, że Polska nie będzie otrzymywać pieniędzy przez to, że wybory wygrał Karol Nawrocki a nie Rafał Trzaskowski” – Jacek Saryusz-Wolski, były wiceprzewodniczący PE @JSaryuszWolski @skowronskiwnet piped.video/watch?v=0aOrchBm…",4,130,26,160,"Jun 3, 2025 · 6:27 AM UTC",263,32,
14,ekazikowska,„Karol Nawrocki prezydentem Polski”.,4,194,24,222,"Jun 3, 2025 · 8:08 AM UTC",36,4,
15,ArturStelmasiak,"Ta mapa robi wrażenie. Przewaga gmin, w których #Nawrocki wygrał jest miażdżąca. 🟥#Trzaskowski 🟦 #Nawrocki",2,84,12,98,"Jun 3, 2025 · 7:08 AM UTC",106,15,
16,EwaZamojska,"Nawrocki nie zgodził się, aby Kuchciński pełnił funkcję ministra w jego kancelarii. Już się zerwał ze smyczy? Jak bardzo nie jest mi przykro. Jarku, a może mu podsunąć łupieżowego?",6,48,57,111,"Jun 3, 2025 · 6:18 AM UTC",180,29,
17,Load newest,Brak treści,0,0,0,0,,11,2,
18,Cenckiewicz,"Pan Prezydent elekt dr Karol Nawrocki @NawrockiKn bez śladu zmęczenia, za to ja odpocząć muszę po tej kampanii :)",6,416,122,544,"Jun 3, 2025 · 7:48 AM UTC",113,19,
19,BTC_Archive,BREAKING: Poland just elected pro-Bitcoin Presidential candidate Karol Nawrocki. “Poland should be a birthplace of innovation rather than regulation.”,18,592,173,783,"Jun 2, 2025 · 8:56 AM UTC",150,19,
20,DeutscherSchfe3,"Der polnische Präsident Nawrocki: „Mein Polen ist ein Polen, in dem es statt Integrationszentren für Migranten Abschiebezentren für diejenigen gibt, die unser Land zerstören wollen!"" Karol ist ein Schatz.",2,52,7,61,"Jun 3, 2025 · 6:35 AM UTC",204,29,
