id,username,fullname,text,likes,retweets,replies,quotes,date,word_count,text_length,link
1,gfkot,Grzegorz Kot,Nawrocki go wybrał do kancelarii. Pasuje?,290,34,73,3,"Jul 21, 2025 · 5:47 PM UTC",6,41,https://nitter.net/gfkot/status/1947352755930337463#m
2,Nawrocki25,#Nawrocki2025,"🇵🇱 ""Karol Nawrocki jest nadzieją na lepsze jutro!"" Piękne słowa poparcia młodych Polaków dla naszego kandydata. Posłuchajcie 👇 #Nawrocki2025",2964,953,305,35,"Dec 20, 2024 · 7:54 AM UTC",19,140,https://nitter.net/Nawrocki25/status/1870014935931203924#m
3,RadioMaryja,Radio Maryja,"Prezydent elekt @NawrockiKn w @TV_Trwam : Dobro Polski wymaga współpracy prezydenta z premierem. Wszystkie projekty i ustawy, które będą dobre dla Polaków, będą spotykać się z moją akceptacją niezależnie od tego, jak krytycznie oceniam @donaldtusk radiomaryja.pl/informacje/pr…",34,18,0,0,"Jul 21, 2025 · 5:52 PM UTC",36,277,https://nitter.net/RadioMaryja/status/1947353945577255405#m
4,Calineczka505,Elena Polexit #Wieprz niegodzien pereł🐸,Taka strata..... Nawrocki się już nie podniesie,18,8,0,0,"Jul 21, 2025 · 4:25 PM UTC",7,47,https://nitter.net/Calineczka505/status/1947332213118206013#m
5,Gameover1920,Mateusz,"Karol Nawrocki- Prezydent. Zbigniew Bogucki- Szef Kancelarii Prezydenta. Paweł Szefernaker- Szef Gabinetu Prezydenta. Sławomir Cenckiewicz- Szef Biura Bezpieczeństwa Narodowego. Ekipa, która obali rząd Donalda Tuska! 👇",235,86,15,1,"Jul 21, 2025 · 4:47 PM UTC",26,218,https://nitter.net/Gameover1920/status/1947337728992973002#m
6,DawidWildstein,Dawid Wildstein,"Znów mnie nie było niecałą dobę, wracam i okazuje się, że jakaś banda psycholi uznała, że wyleje pornograficzny hejt na dziewczynkę, którą wziął na barana Nawrocki. I kto to zrobił? Oczywiście jakieś Uśmiechnięte Bydło z okolic Giertycha. Mam tylko jedno pytanie. Dlaczego w 99 procentach każdy, kto ma w nazwie Europejską flagę, znaczek PO i słowa ""Silni Razem"" okazuje się skrajnie durnym, niebywale agresywnym i sfrustrowanym seksualnie degeneratem, który najbardziej kocha atakować dzieci? Jak udało się Giertychowi i Tuskowi ich wyhodować? Przecież to przeczy wszelkim prawom statystyki. Nawet wśród takiej zgrai chamstwa powinno być kilku normalnych- a nie ma...",974,304,24,2,"Jul 21, 2025 · 8:44 AM UTC",99,668,https://nitter.net/DawidWildstein/status/1947216165341667681#m
7,HubnerrMax,Max Hübner,"Prezydent elekt Karol Nawrocki poinformował, że za sprawy Polonii w jego Kancelarii odpowiadać będzie Agnieszka Jędrzak - dotychczasowa Dyrektor Biura Współpracy Międzynarodowej IPN. Cieszy jak cholera - wykonała tytaniczną pracę na rzecz pamięci o Polsce na świecie. Cudownie.",854,240,10,1,"Jul 21, 2025 · 4:52 PM UTC",38,277,https://nitter.net/HubnerrMax/status/1947339011900534798#m
8,OKP_oficjalny,PopieramyKarolaNawrockiego🇵🇱,"🎥 📢✌️""Mamy zakodowane w sercu trzy słowa: Bóg, honor, Ojczyzna. To jest nasza siła. I to jest to też jego siła. Karol Nawrocki wierzy w to, że razem z milionami Polaków uczyni Polskę wielką i wspaniałą, która będzie wzorem dla innych narodów. Zaprzysiężenie będzie dniem niezwykłej demonstracji przywiązania do Ojczyzny. Ten Prezydent jest wielką nadzieją na przemianę rzeczywistości, której nie akceptujemy. Że będzie miłość, a nie nienawiść. Tego życzę Panu Prezydentowi z całego serca"" - Halina Łabonarska z Obywatelskiego Komitetu Poparcia zachęca do udziału w uroczystościach 6 sierpnia w Warszawie. 🇵🇱🇵🇱🇵🇱",217,84,8,4,"Jul 21, 2025 · 5:48 PM UTC",91,611,https://nitter.net/OKP_oficjalny/status/1947353002353799178#m
9,PolakzPol,Polak z Polski #Nawrocki2025,Nawrocki Prezydent WSZYSTKICH Polaków @NawrockiKn ✌️🇵🇱,523,203,13,2,"Nov 27, 2024 · 11:12 AM UTC",6,54,https://nitter.net/PolakzPol/status/1861729919585153182#m
10,Bajkonuur,Choinkowski 🚩🌱🇪🇺,Gdyby trwały prace nad tym zakazem i wcielano go w życie to Nawrocki by nie wygrał.,0,0,0,0,"Jul 21, 2025 · 7:03 PM UTC",16,83,https://nitter.net/Bajkonuur/status/1947371870375797139#m
11,HubnerrMax,Max Hübner,Prezydent elekt Karol Nawrocki potwierdził. Szefem jego Kancelarii zostanie Zbigniew Bogucki. Zastępcą Szefa Kancelarii natomiast Adam Andruszkiewicz. Let's go!,561,110,40,2,"Jul 21, 2025 · 4:41 PM UTC",19,160,https://nitter.net/HubnerrMax/status/1947336051405570306#m
12,EwaZamojska,Ewa,"Mularczyk:""Nawrocki jest problemem dla Niemców"". Drogi panie, Nawrocki jest przede wszystkim problemem dla Polaków.",3037,394,106,7,"Jul 21, 2025 · 5:49 AM UTC",14,115,https://nitter.net/EwaZamojska/status/1947172087161901231#m
