id,username,fullname,text,likes,retweets,replies,quotes,date,word_count,text_length,link
61,MrJohnBingham,John Bingham,"Warszawa Rafała @trzaskowski_ , przy wsparciu finansowym @Grupa_PGE , uroczyście świętuje 70-lecie stalinowskiego symbolu zniewolenia Polaków.",72,35,4,1,"Jul 22, 2025 · 11:24 AM UTC",16,142,https://nitter.net/MrJohnBingham/status/1947618784446980154#m
62,John_Albedo_,Albedo,"Dorosli meżczyzni czasem się poszarpią i zachowują się jak małe niedźwiadki, małe tygrysy. Jak nie mają do siebie o to pretensji to nie ma problemu. W całej Polsce i zawsze. No ale może ty jesteś zbyt delikatny, wrażliwy i taki widok wzbudza twój lęk... 🤷‍♂️",0,0,0,0,"Jul 22, 2025 · 12:18 PM UTC",45,258,https://nitter.net/John_Albedo_/status/1947632327170953312#m
63,PlPrzemys,Przemysław Pl,*określana debilami,0,0,0,0,"Jul 22, 2025 · 12:17 PM UTC",2,19,https://nitter.net/PlPrzemys/status/1947632156584382534#m
64,MSchreiberM,Marianna Schreiber,Jak tam Panie @trzaskowski_ ? Coś na ten temat?,280,35,60,0,"Jul 22, 2025 · 7:40 AM UTC",9,47,https://nitter.net/MSchreiberM/status/1947562457884479538#m
65,smnelken,Stanisław Nelken,"Do młodych trzeba trafiać systematycznie, a nie raz w roku. młodzieżówka PO nic nie kuma.",0,0,0,0,"Jul 22, 2025 · 12:16 PM UTC",15,89,https://nitter.net/smnelken/status/1947631844587110479#m
66,PsotnyTomasz,Tomasz,"Jak Pani partnerów weryfikuje w taki sam sposób jak tego typu filmiki, to nie ma się co potem dziwić xD",6,1,1,0,"Jul 22, 2025 · 8:05 AM UTC",20,103,https://nitter.net/PsotnyTomasz/status/1947568633510826093#m
67,Maciej846612,Maciej 🇵🇱 #TuskZawszeKłamie,"Uśmiechnięci @TomaszSiemoniak @trzaskowski_ Tak wygląda ubogacenie kulturowe? Jest coraz bezpieczniej, tak? SERIO❓ #migranciTuska #normalnapolska 🇵🇱 #Nawrocki2025 @CzarnekP @PatrykJaki @cezarygmyz @R_A_Ziemkiewicz @KonradPiasecki @BogRymanowski @2025_EwaPolka @pisorgpl",8,6,0,0,"Jul 22, 2025 · 11:12 AM UTC",24,269,https://nitter.net/Maciej846612/status/1947615785817674174#m
68,Twardesutki1,Twardesutki,Trzaskowski przegrał Wytrzeźwiejcie 🫡😂😂,0,0,0,0,"Jul 22, 2025 · 12:16 PM UTC",4,39,https://nitter.net/Twardesutki1/status/1947631744653341044#m
69,Zuzanna19194,Zuzanna,"Dobrze, ale: Zobacz co zrobił dzisiaj w Warszawie czarny kąt białemu człowiekowi!!!!!! Gdzie policja??",0,0,0,0,"Jul 22, 2025 · 12:15 PM UTC",14,102,https://nitter.net/Zuzanna19194/status/1947631635140362610#m
70,Drzymalski_,Jarosław Drzymalski,Uważam że Rafał Trzaskowski powinien osobiście się tam zespawnować i zareagować.,0,0,0,0,"Jul 22, 2025 · 12:15 PM UTC",11,80,https://nitter.net/Drzymalski_/status/1947631486603067445#m
71,Micha88973412,Michał,Wg sondaży to Trzaskowski mial wygrać z dużą przewagą głosów. To są takie właśnie tendencyjne pytania tam. Ciekawostką jest na pewno to ze Wam sie pytania nie podobały w referendum bo tendencyjne ale juz w takim badaniu sie podobają bo wyniki wyszły ok.,0,0,0,0,"Jul 22, 2025 · 12:14 PM UTC",43,253,https://nitter.net/Micha88973412/status/1947631324518617577#m
72,Abbdieel,Abdiel 🇵🇱 🇵🇱 #GrzegorzBraun 🇵🇱 🇵🇱,"taaa...., takie yntelygenty jak ty tylko wierzą w badania i sondaże, zatem jak tam wasz prezydent Polski Trzaskowski, miał niby w przedbiegach wygrać z Nawrockim?",0,0,0,0,"Jul 22, 2025 · 12:14 PM UTC",25,162,https://nitter.net/Abbdieel/status/1947631280151056405#m
73,Marek1784427,Marek,"Naprawdę my Polacy mamy dużo szczęścia, że nie wygrał Trzaskowski wyborów, bo nie długo bylibyśmy landem niemieckim.",48,22,3,0,"Jul 22, 2025 · 10:41 AM UTC",17,116,https://nitter.net/Marek1784427/status/1947607973372825874#m
74,HubnerrMax,Max Hübner,"Wiecie co jest najbardziej zabawne? Że wśród dziennikarzy i polityków związanych z rządem, chodzą plotki, że to Karol Nawrocki, a nie Rafał Trzaskowski, był bardziej stratny na ""błędach"" w wytypowanych komisjach ""przeliczanych"" przez Bodnara. Ależ to by była piękna katastrofa.",165,33,13,0,"Jul 22, 2025 · 11:37 AM UTC",40,277,https://nitter.net/HubnerrMax/status/1947622061725143502#m
75,ny_1337,ny_1337,"Spoko, za pół roku pewnie się będziesz z nim ruchać znając ciebie xD",43,2,0,0,"Jul 22, 2025 · 7:44 AM UTC",13,68,https://nitter.net/ny_1337/status/1947563309542133897#m
76,CDzwoni,Zygfryd Czaban,"Wiecie, że Trzaskowski pewnie by wygrał gdyby nie Murański?",1057,113,167,9,"Jul 21, 2025 · 7:41 PM UTC",9,59,https://nitter.net/CDzwoni/status/1947381351403213075#m
77,RodzinaTreflik,RodzinaTreflików,Te! Gospodarz! Jakieś trzaskanie pod twoim balkonem widać,0,0,0,0,"Jul 22, 2025 · 12:12 PM UTC",8,57,https://nitter.net/RodzinaTreflik/status/1947630732421341312#m
78,Int_Wydarzenia,Interia,"Informacja o porzuceniu przez @trzaskowski_ inicjatywy Campus Polska oraz zaproszenie @Andruszkiewicz1 do Pałacu Prezydenckiego - to dwie strony medalu. To odpowiedź na pytanie, kto lepiej w polityce daje szansę młodym ludziom @kuiszjaroslaw wydarzenia.interia.pl/feliet…",7,2,1,0,"Jul 22, 2025 · 11:56 AM UTC",33,271,https://nitter.net/Int_Wydarzenia/status/1947626837204439362#m
79,SebDepisizator,Sebix #SPoW🇮🇱🇪🇺🇺🇳🇱🇧,Bo jest tchórzem 🤷 w dodatku bez jaj i woli walki o swoje,0,0,0,0,"Jul 22, 2025 · 12:11 PM UTC",13,57,https://nitter.net/SebDepisizator/status/1947630652729204744#m
80,Ppawcio20,Pawcio 🇵🇱 ⚫⚪🔴⚫,"Kretyn, który pieprzył głupoty, że Rosjanie gonią resztkami sił 🤦‍♂️ Ps. KIEDY nowy stadion dla @Polonia1911 który miasto ma zbudować ??? wiadomosci.radiozet.pl/Gosc-…",0,0,0,0,"Jul 22, 2025 · 12:11 PM UTC",22,167,https://nitter.net/Ppawcio20/status/1947630542414921911#m
81,MarekMa25175489,Marek Markowski,"Wy nawet nie macie pojęcia jakiego nieszczęścia uniknęła Polska wybierając na Prezydenta RP @NawrockiKn Gdyby wygrał Trzaskowski już dzisiaj mieliby gotowe czekające na podpis ustawy o cenzurze, o migracji, o oddaniu Polski w ręce Niemiec. Jeszcze Polska nie zginęła.",3632,762,177,8,"Jul 20, 2025 · 12:57 PM UTC",39,267,https://nitter.net/MarekMa25175489/status/1946917384817664433#m
82,Anna_Hev,HAnna Hevert,"Wymiarem sprawiedliwości rządzi PiS, czy KO15X? Wybory wygrał Trzaskowski, czy alfons? ... bo to Polska właśnie.",107,13,33,0,"Jul 22, 2025 · 9:10 AM UTC",16,112,https://nitter.net/Anna_Hev/status/1947584997705322538#m
83,rygula1,Piotr 🇵🇱🇺🇦🇪🇺🇺🇸,"Wstyd robić campus, skoro przegrało się wybory na prezydenta Polski. Chyba że byłaby tam stypa.",0,0,0,0,"Jul 22, 2025 · 12:10 PM UTC",15,95,https://nitter.net/rygula1/status/1947630396562092118#m
84,StalinPols19583,Wiktor #PatriociRAZEM,Demokracja liberalna jest wtedy gdy Trzaskowski wygrywa,0,0,0,0,"Jul 22, 2025 · 12:10 PM UTC",7,55,https://nitter.net/StalinPols19583/status/1947630270816911748#m
85,MrJohnBingham,John Bingham,"Warszawa Rafała @trzaskowski_ , przy wsparciu finansowym @Grupa_PGE , uroczyście świętuje 70-lecie stalinowskiego symbolu zniewolenia Polaków.",72,35,4,1,"Jul 22, 2025 · 11:24 AM UTC",16,142,https://nitter.net/MrJohnBingham/status/1947618784446980154#m
86,Wieslaw_Pele,Wiesław 🇵🇱,Prezydent Warszawy to maks. Pańskiej kariery politycznej. Paradoksalnie jest to dobra wiadomość dla Polski.,41,6,2,0,"Jul 21, 2025 · 12:14 PM UTC",14,107,https://nitter.net/Wieslaw_Pele/status/1947269051002019901#m
87,PlPrzemys,Przemysław Pl,"3% Janusza? W każdym społeczeństwie jest grupa ludzi określane debilami (termni medyczny). Ci upodobali sobie JKM, a ten zeruje na nich jak pijawka (wmawiając im, ze są elita bo na niego glosuja). Cykl sie zamyka, ale nie nie boli mnie jego 3%.",0,0,1,0,"Jul 22, 2025 · 12:09 PM UTC",42,244,https://nitter.net/PlPrzemys/status/1947630160569569287#m
88,HubnerrMax,Max Hübner,"Wiecie co jest najbardziej zabawne? Że wśród dziennikarzy i polityków związanych z rządem, chodzą plotki, że to Karol Nawrocki, a nie Rafał Trzaskowski, był bardziej stratny na ""błędach"" w wytypowanych komisjach ""przeliczanych"" przez Bodnara. Ależ to by była piękna katastrofa.",165,33,13,0,"Jul 22, 2025 · 11:37 AM UTC",40,277,https://nitter.net/HubnerrMax/status/1947622061725143502#m
89,MrJohnBingham,John Bingham,"Warszawa Rafała @trzaskowski_ , przy wsparciu finansowym @Grupa_PGE , uroczyście świętuje 70-lecie stalinowskiego symbolu zniewolenia Polaków.",72,35,4,1,"Jul 22, 2025 · 11:24 AM UTC",16,142,https://nitter.net/MrJohnBingham/status/1947618784446980154#m
90,John_Albedo_,Albedo,"Dorosli meżczyzni czasem się poszarpią i zachowują się jak małe niedźwiadki, małe tygrysy. Jak nie mają do siebie o to pretensji to nie ma problemu. W całej Polsce i zawsze. No ale może ty jesteś zbyt delikatny, wrażliwy i taki widok wzbudza twój lęk... 🤷‍♂️",0,0,0,0,"Jul 22, 2025 · 12:18 PM UTC",45,258,https://nitter.net/John_Albedo_/status/1947632327170953312#m
91,PlPrzemys,Przemysław Pl,*określana debilami,0,0,0,0,"Jul 22, 2025 · 12:17 PM UTC",2,19,https://nitter.net/PlPrzemys/status/1947632156584382534#m
92,MSchreiberM,Marianna Schreiber,Jak tam Panie @trzaskowski_ ? Coś na ten temat?,281,35,60,0,"Jul 22, 2025 · 7:40 AM UTC",9,47,https://nitter.net/MSchreiberM/status/1947562457884479538#m
93,smnelken,Stanisław Nelken,"Do młodych trzeba trafiać systematycznie, a nie raz w roku. młodzieżówka PO nic nie kuma.",0,0,0,0,"Jul 22, 2025 · 12:16 PM UTC",15,89,https://nitter.net/smnelken/status/1947631844587110479#m
94,PsotnyTomasz,Tomasz,"Jak Pani partnerów weryfikuje w taki sam sposób jak tego typu filmiki, to nie ma się co potem dziwić xD",6,1,1,0,"Jul 22, 2025 · 8:05 AM UTC",20,103,https://nitter.net/PsotnyTomasz/status/1947568633510826093#m
95,Maciej846612,Maciej 🇵🇱 #TuskZawszeKłamie,"Uśmiechnięci @TomaszSiemoniak @trzaskowski_ Tak wygląda ubogacenie kulturowe? Jest coraz bezpieczniej, tak? SERIO❓ #migranciTuska #normalnapolska 🇵🇱 #Nawrocki2025 @CzarnekP @PatrykJaki @cezarygmyz @R_A_Ziemkiewicz @KonradPiasecki @BogRymanowski @2025_EwaPolka @pisorgpl",8,6,0,0,"Jul 22, 2025 · 11:12 AM UTC",24,269,https://nitter.net/Maciej846612/status/1947615785817674174#m
96,Twardesutki1,Twardesutki,Trzaskowski przegrał Wytrzeźwiejcie 🫡😂😂,0,0,0,0,"Jul 22, 2025 · 12:16 PM UTC",4,39,https://nitter.net/Twardesutki1/status/1947631744653341044#m
