id,username,text,likes,retweets,replies,total_interactions,post_date_iso,text_length,word_count,sentiment_label,link,fullname,quotes,date,hashtag,content,interactions
22.0,car_czarnowska,"Lepiej z cielakiem w błocie chlapać, niż za Gortatem bzdury sapać.😌 Niepozdrowienia dla Marcina Gortata — co ma siano w głowie, choć złota na klatach.🤡 #wybory #wieś #Nawrocki #Trzaskowski",0,0,0,0.0,10-06-25,188.0,29.0,,https://nitter.net/car_czarnowska/status/1932367472570548230#m,,,,,,
25.0,PrzemBebop,Lud się bardzo w ku....,0,0,0,0.0,10-06-25,23.0,5.0,,https://nitter.net/PrzemBebop/status/1932367344095068449#m,,,,,,
27.0,xpeytibi,"Lanzada nuestra newsletter 42, con tres ideas #ComPol y #ComGov y recomendaciones sobre @LinkNYC, @gilduran76, @trzaskowski_, @alonsay, @antonigr, @ideograma, @havascortex, @benwansell, @EWDolan, @ActisAndres, @RaimonSastre e @Ivanna_Torrico 👇 politicacreativa.com/p/42-li…",0,2,0,2.0,10-06-25,273.0,28.0,,https://nitter.net/xpeytibi/status/1932350521928810532#m,,,,,,
30.0,SzczurekZelazko,„Nie ma Zielonego Ładu”- niedawno kłamał @trzaskowski_ . A tutaj już wchodzi kolejny podatek ‼️ #TuskDoDymisji,0,6,0,6.0,10-06-25,110.0,16.0,,https://nitter.net/SzczurekZelazko/status/1932355030813970711#m,,,,,,
31.0,52_macius,"Prez. Trzaskowski jeszcze nic nie przegrał ! Został po raz drugi barbarzyńsko oszukany ! Rożnica polega na tym, że tym razem przestępcom nie popuścimy i dojdziemy prawdy ! Prez. Trzaskowski wybory 2025 wygrał !",0,0,9,9.0,09-06-25,210.0,34.0,,https://nitter.net/52_macius/status/1932208758207221789#m,,,,,,
35.0,Niktdokwadratu,Czyli był krócej kapitanem niż Trzaskowski prezydentem,0,0,0,0.0,10-06-25,54.0,7.0,,https://nitter.net/Niktdokwadratu/status/1932368116773699841#m,,,,,,
36.0,MacVVilk,"Propagandę? Ja walczę z toksycznym antypaństwowym ściekiem kolportowanym przez heroldów tzw.""obozu demokratycznego"". Ich narracja to ordynarne brednie, oparte wyłącznie na własnych urojeniach – wbrew liczbom i faktom. To celowe rozwalanie państwa. Pytanie tylko w czym interesie?",0,7,9,16.0,09-06-25,279.0,36.0,,https://nitter.net/MacVVilk/status/1932169846776877351#m,,,,,,
37.0,JaneczkoPawe,"Trzaskowski - miał za sobą TVP, TVN, Polsat, cała UE, Rosję, władzę w Polsce, która oszukiwała w wyborach, a i tak przejebal z rzekomym Alfonsem. Ale kurwa żal człowieka 🥹",0,0,0,0.0,10-06-25,171.0,30.0,,https://nitter.net/JaneczkoPawe/status/1932368083479564651#m,,,,,,
96.0,Czaploni,"Jeśli ktoś poszukuje odpowiedzi na pytanie, dlaczego po pierwszej - udanej turze - Trzaskowski przegrał te wybory, to wystarczy spojrzeć, co działo się w Internecie. Cała wierchuszka PiS ruszyła na media społecznościowe, X-y i facebook-i zalewając falą hejtu rząd i Premierahttps://x.com/ZiobroPL/status/1929596891647635862 – wielotysięczne zasięgi. Nie było na to żadnej odpowiedzi. Wpisy mało popularnych osób nie mogą z tym konkurować. Teraz już pojawił się Mentzen z nową kampanią wyborczą, hejtem na rząd i Premiera, a PiS z pomysłami na dymisję rządu. Tego nie można już przegapić.",0,0,0,0.0,10-06-25,587.0,85.0,,https://nitter.net/Czaploni/status/1932368217768448171#m,,,,,,
128.0,mariuszsalek,"Potwierdzi się to, że Trzaskowski miał 40%",0,0,0,0.0,10-06-25,42.0,7.0,,https://nitter.net/mariuszsalek/status/1932368256062673010#m,,,,,,
160.0,TomaszCicero,Niezłe konto satyryczne😂.,0,0,0,0.0,10-06-25,25.0,3.0,,https://nitter.net/TomaszCicero/status/1932368304850526403#m,,,,,,
221.0,Mateusz80946702,"Odpowiadam w imieniu Rafała: Nie, nie ma sensu. Zostały czerwone korale i spodnie całe w kale. Pozdrawiam",0,0,0,0.0,10-06-25,105.0,17.0,,https://nitter.net/Mateusz80946702/status/1932368443204104281#m,,,,,,
251.0,Farciarz77777,"Dej se spokój nie widzisz, że ten o którego walczysz ma cię głęboko w dupie?",0,0,0,0.0,10-06-25,76.0,15.0,,https://nitter.net/Farciarz77777/status/1932368512342733186#m,,,,,,
279.0,IAbbys29460,Ale ja już byłam na wyborach i w dupie macie na kogo głosowałam,0,0,0,0.0,10-06-25,63.0,13.0,,https://nitter.net/IAbbys29460/status/1932368596375912904#m,,,,,,
308.0,Arturro2305,"W dobie już ujawnionych ilości nieprawidłowości powinno się powtórzyć lub liczenie lub głosowanie. I to nieważne czy wygra Nawrocki czy Trzaskowski lecz by ludzie czuli że każdygłos był uczciwie zliczony ,aplikacje nie wspominam. Jeśli tego się nie zrobi to demokracji już nie ma",0,18,7,25.0,10-06-25,279.0,43.0,,https://nitter.net/Arturro2305/status/1932281712337129958#m,,,,,,
309.0,EwaKGrabowska,"Dobrze, że nie zabiera głosu, nie powinien mieszać się do tego.",0,0,0,0.0,10-06-25,63.0,11.0,,https://nitter.net/EwaKGrabowska/status/1932368631221878848#m,,,,,,
310.0,natty_dready91,"Nawet Trzaskowski mówi, że z wynikiem trzeba się pogodzić 😂 wiesz jaka musiałby być skala nieprawidłowości aby nie uznać nowego wybranego Prezydenta? Czy kiwnąć palcem Ci się nawet nie chce?",0,0,0,0.0,10-06-25,190.0,30.0,,https://nitter.net/natty_dready91/status/1932368627405082848#m,,,,,,
367.0,Karsinina,"Przy tych przegranych wyborach wiele masek spadło z twarzy lewicowych wyborców, tak wiele mówią a mają brak tolerancji, pogarda, czują sie lepsi, albo się z nimi zgadzasz albo jesteś kłamcą, oszustem i wszystko co na ciebie wymyślą. Straszne, nic dziwnego że Trzaskowski przegrał",0,0,0,0.0,10-06-25,279.0,43.0,,https://nitter.net/Karsinina/status/1932368723379097814#m,,,,,,
398.0,Malod97,"W 2020 Duda miał większą stratę głosów w II turze, niż Trzaskowski teraz xD",0,0,0,0.0,10-06-25,75.0,14.0,,https://nitter.net/Malod97/status/1932368827431657837#m,,,,,,
399.0,Kupaczabra,A trzaskowski się bał iść przebadać na obecność narkotyków,0,0,0,0.0,10-06-25,58.0,9.0,,https://nitter.net/Kupaczabra/status/1932368800789246177#m,,,,,,
431.0,SudolMikol73520,"I co by zrobił @donaldtusk ?!! Zacytował Muranskiego? Przeciez to przez niego przegrał Trzaskowski haha to pół debil, zresztą ktos kto powołał Nowacką ("" tak to ona nazwała budowniczych Auschwitz POLSKIMI NAZISTAMI"")Czego sie po tym idiocie spodziewać? Szkoda ze on i Kaczor żyją",0,0,0,0.0,10-06-25,279.0,43.0,,https://nitter.net/SudolMikol73520/status/1932368860885274899#m,,,,,,
464.0,Marzkaanty,Ile to warte. Niewiele. Rafal na drugim miejscu a wygory przegrane.,0,0,0,0.0,10-06-25,67.0,11.0,,https://nitter.net/Marzkaanty/status/1932368922130411643#m,,,,,,
495.0,SzKolega,"a poza tym, łap dane, mordo. Trzaskowski przegrał i to zaakceptował, jak i koalicjanci jego partii, w tym sprzyjające im media",0,0,0,0.0,10-06-25,126.0,21.0,,https://nitter.net/SzKolega/status/1932368998819074480#m,,,,,,
497.0,marek_e_n,Na czyje zamówienie?,0,0,0,0.0,10-06-25,20.0,3.0,,https://nitter.net/marek_e_n/status/1932368971820327054#m,,,,,,
503.0,Robert_198201,"On wie, że według raportu OBWE to jego ludzie oszukiwali.",0,0,0,0.0,10-06-25,57.0,10.0,,https://nitter.net/Robert_198201/status/1932368728596918397#m,,,,,,
528.0,kerogos,"3 błędy: 1. Prezydent wprowadza na wniosek premiera 2. W ciągu 48h musi odbyć się posiedzenie Sejmu zatwierdzające SW (potrzeba 116 głosów za przy obecności dokładnie 231 posłów) 3. Podczas stanu wyjątkowego, każdy dekret musi być również przez Premiera.",0,0,0,0.0,10-06-25,254.0,39.0,,https://nitter.net/kerogos/status/1932369031501156601#m,,,,,,
529.0,EreaAndrzej,"W ostatnim, trzecim, materiale wideo Andrzej Zdun tłumaczy, w jaki sposób zawiązywać lokalne koalicje, aby wybierać SWOJEGO PRZEWODNICZĄCEGO KOMISJI. Jak widać, posiadanie SWOJEGO PRZEWODNICZĄCEGO było dla ludzi od Marcina Dybowskiego krytycznie istotne.",13,555,36,604.0,09-06-25,254.0,32.0,,https://nitter.net/EreaAndrzej/status/1931985758333579390#m,,,,,,
592.0,alvarokks18,"RT przynajmniej wie, że przegrał i woli większości narodu się nie podważa. Co innego takie dzbany jak Ty.",0,0,0,0.0,10-06-25,105.0,18.0,,https://nitter.net/alvarokks18/status/1932369134576185607#m,,,,,,
624.0,GasewiczJarek,"Ryszard Kalisz nie ma wątpliwości, że skala stwierdzonych nieprawidłowości w II turze rośnie z każdym dniem. Chodzi nie tylko o zamianę miejsc w protokołach, ale także o nielegalną aplikację Mateckiego i niedopuszczalne zachowania niektórych członków OKW.",19,930,133,1082.0,09-06-25,255.0,36.0,,https://nitter.net/GasewiczJarek/status/1931957889788232130#m,,,,,,
626.0,GiertychRoman,Miałem zaszczyt reprezentować dr L. Czarneckiego w tej sprawie. Plan zabrania mu banków za złotówkę zrealizowany przez PiS właśnie legł w gruzach. Oznacza to szansę na odszkodowanie dla wszystkich akcjonariuszy i obligatariuszy banku. businessinsider.com.pl/prawo…,8,588,133,729.0,09-06-25,264.0,34.0,,https://nitter.net/GiertychRoman/status/1931989443797270849#m,,,,,,
657.0,SmokeMirrorLad,Trzaskowski to skrzyżowanie Einsteina z Platonem. Kurtyna. W kurtynę owijamy zwłoki przeciwników i do szamba. Zgodnie z Agendą 2030.,0,0,0,0.0,10-06-25,132.0,19.0,,https://nitter.net/SmokeMirrorLad/status/1932369249810399662#m,,,,,,
689.0,PasjonataM,"Sondaż zaufania Onetu, ibris I wszystko się jak zwykle urealnia po wyborach Trzaskowski -6,4 Duda +6,2 Nawrocki +1,6 Mentzen +11,3! Hołownia -6,8 Tusk -3,3 Morawiecki -0,4 Kosiniak -2,4 Kaczyński -1,1 Zgorzelski -4,2 Bosak +5,9 Czarzasty -3,2 onet.pl/informacje/onetwiado…",2,19,16,37.0,10-06-25,272.0,37.0,,https://nitter.net/PasjonataM/status/1932337906615550274#m,,,,,,
823.0,antybol_k,"Oczywiście wg. tego czopka jakby wygrał Trzaskowski i wprowadził do Pałacu jak było planowane, Nitrasa, Tomczaka i inne partyjne miernoty, byłoby jak najbardziej ok. Profesorowi Czarnkowi te gnomy, z Kwiatkowskim włącznie, mogą buty czyścić.",0,4,1,5.0,10-06-25,241.0,34.0,,https://nitter.net/antybol_k/status/1932309856544805100#m,,,,,,
890.0,SabinaKociol,"Chciałam zauważyć, że Trzaskowski z dziećmi się nawet na scenie w trakcie ogłoszenia wyników nie pojawił...",0,0,0,0.0,10-06-25,107.0,16.0,,https://nitter.net/SabinaKociol/status/1932369659732578752#m,,,,,,
891.0,Patryk4554,Gdybyśmy postępowali tak jak Rumunii to Trzaskowski powinien zostać wyjebany na pysk za nielegalnie finansowaną kampanię. Czyli tak jak udupili Georgescu za niejasne źródła finansowania.,0,1,0,1.0,10-06-25,186.0,25.0,,https://nitter.net/Patryk4554/status/1932328992779931998#m,,,,,,
2.0,Mary69013995,"No właśnie. 2 miliony z 2023 zostało w domach, nie poszło na wybory i dali wygraną Nawrockiemu. Mieli wszystko w dudzie a teraz kto winny? Tusk winny, Trzaskowski winny, na wybory już nie pójdą. Kto ma zlecić ponowne liczenie albo powtórkę 2 tury wyborów? Pisowski SN, Hołownia?",0,5,11,16.0,10-06-25,278.0,47.0,,https://nitter.net/Mary69013995/status/1932334341876863028#m,,,,,,
3.0,BadID_,Gdzie wy tę sondę robiliście? U siebie w redakcji?,0,0,0,0.0,10-06-25,50.0,9.0,,https://nitter.net/BadID_/status/1932390660796981324#m,,,,,,
5.0,szkolaszpiegow,"💢Ten akapit nie mówi literalnie o weryfikacji tożsamości 💢Ten akapit mówi o weryfikacji prawa do oddania głosu To jest kryminał, zmiana zasad na 3 dni przed wyborami. Kto wyslal @PanstwKomWyb ten akapit do wlaczenia w rozporzadzenie? Bandyta @DariuszMatecki? cc @GiertychRoman",1,19,7,27.0,10-06-25,276.0,40.0,,https://nitter.net/szkolaszpiegow/status/1932364677259948455#m,,,,,,
6.0,Calineczka505,IBRIS to jest przystawka Tuska zatem przeszacowana PO niedoszacowany PiS i Konfederacja. Z 3D nie ma co zbierać . We wszystkich sondażach tej pracowni wygrywał zawsze Trzaskowski przedtem Komorowski. Duda kończy 2 kadencję Nawrocki zaczyna pierwszą,0,1,0,1.0,10-06-25,248.0,36.0,,https://nitter.net/Calineczka505/status/1932327465206284449#m,,,,,,
