id,username,fullname,text,likes,retweets,replies,quotes,date,word_count,text_length,link
1,MMKulikowski,Michał M. Kulikowski,Zachowaniem podobni do bylego Pani zapinacza @PCzarnecki83,0,0,0,0,"Jul 22, 2025 · 10:42 AM UTC",7,58,https://nitter.net/MMKulikowski/status/1947608075667734620#m
2,MarekMa25175489,Marek Markowski,"Wy nawet nie macie pojęcia jakiego nieszczęścia uniknęła Polska wybierając na Prezydenta RP @NawrockiKn Gdyby wygrał Trzaskowski już dzisiaj mieliby gotowe czekające na podpis ustawy o cenzurze, o migracji, o oddaniu Polski w ręce Niemiec. Jeszcze Polska nie zginęła.",3530,750,173,7,"Jul 20, 2025 · 12:57 PM UTC",39,267,https://nitter.net/MarekMa25175489/status/1946917384817664433#m
3,Marek1784427,Marek,"Naprawdę my Polacy mamy dużo szczęścia, że nie wygrał Trzaskowski wyborów, bo nie długo bylibyśmy landem niemieckim.",0,0,0,0,"Jul 22, 2025 · 10:41 AM UTC",17,116,https://nitter.net/Marek1784427/status/1947607973372825874#m
4,Uszczypacki,Henryk,Trzaskowski by wygrał gdyby nie trzaskowski,0,0,0,0,"Jul 22, 2025 · 10:41 AM UTC",6,43,https://nitter.net/Uszczypacki/status/1947607969266602418#m
5,WojSadurski,Wojciech Sadurski,"Oficjalne stanowiska o wynikach wyborów (w luźnej parafrazie): „PKW: Nawrocki chyba dostał trochę więcej głosów niż Trzaskowski, ale trudno powiedzieć ile, bo były przekręty. Niech się wypowie Sąd Najwyższy. Izba Przebierańców: Nawrocki wygrał, wygrał, wygrał! Hura! Marszałek Hołownia: Czy są głosy sprzeciwu? Nie widzę, nie słyszę”. Kurtyna.",3022,852,206,35,"Jul 17, 2025 · 8:40 PM UTC",47,343,https://nitter.net/WojSadurski/status/1945946721445728391#m
6,topboyfloor,top boy floor,"proszę Pani, przecież już minute po zakończeniu głosowania było wiadomo kto wygrał. Pan Rafał Trzaskowski nie sfałszował wyborów.",0,0,0,0,"Jul 22, 2025 · 10:39 AM UTC",18,129,https://nitter.net/topboyfloor/status/1947607430608667064#m
7,AlexDataa,Aleksander Data,"Ja bym powiedział, że to przez przeżarte polityką mózgi. Sympatie tych co komentują są znane. A Warszawa = Trzaskowski = zło. Wilanów = zło. Ludzie chorzy na politykę przestali mieć poglądy na sprawy wydawałoby się neutralne politycznie.",1,0,0,0,"Jul 22, 2025 · 10:39 AM UTC",37,237,https://nitter.net/AlexDataa/status/1947607366763221158#m
8,Sebasti62420282,PanKracy,Ściemniacz,0,0,0,0,"Jul 22, 2025 · 10:39 AM UTC",1,10,https://nitter.net/Sebasti62420282/status/1947607340460683333#m
9,tiktoker_pol,P I N O D L,Oj bym tam byl oj oj oj,0,0,0,0,"Jul 22, 2025 · 10:38 AM UTC",7,23,https://nitter.net/tiktoker_pol/status/1947607174860931137#m
10,DamianRR1,Damian RR,Roman naprawdę wmówił swojej silnej sekcie że pisiory w opozycji sfałszowali wybory 🤯🤯 dobrze że Trzaskowski nie idzie w narrację tej ciemnoty👍,0,0,0,0,"Jul 22, 2025 · 10:38 AM UTC",22,143,https://nitter.net/DamianRR1/status/1947607063049474344#m
11,Grazyna04,Grażyna,"No cóż, może masz rację.",1,0,0,0,"Jul 22, 2025 · 10:38 AM UTC",5,24,https://nitter.net/Grazyna04/status/1947607057525346641#m
12,WojPawelczyk,Wojciech Pawelczyk,"Warsaw is no longer a safe city, thanks to its globalist mayor Rafał Trzaskowski who almost became the next President of Poland...",21,12,2,1,"Jul 22, 2025 · 9:24 AM UTC",22,130,https://nitter.net/WojPawelczyk/status/1947588642974597324#m
13,cro_vv,CroVV,"Kto jak kto, ale Rafał akurat się nie spłakał. O wynik wyborów trzeba kunia pytać.",0,0,0,0,"Jul 22, 2025 · 10:37 AM UTC",15,82,https://nitter.net/cro_vv/status/1947606805791568041#m
14,Lukson1992,Syn Janusza,Ale po 21:00 było głośno😉,0,0,0,0,"Jul 22, 2025 · 10:36 AM UTC",5,25,https://nitter.net/Lukson1992/status/1947606775068287084#m
15,KamilLipsk28381,Kamil Lipski,"Ale Murzyni będa mieli używnaie w takich strefach! Nie możesz krzyczeć, bo to strefa ciszy!",0,0,0,0,"Jul 22, 2025 · 10:36 AM UTC",15,91,https://nitter.net/KamilLipsk28381/status/1947606638405288415#m
16,SpartanWojtek,Wojtek Spartan 2.0 Aristodemos - Spartiata,Zrobi Pan coś tym? Czy tylko potańczy politycznie nad trumnami?,25,5,0,0,"Jul 22, 2025 · 8:23 AM UTC",10,63,https://nitter.net/SpartanWojtek/status/1947573234225823758#m
17,AniaRegu,Sofia🐈,Ah ten Trzaskowski 😅,0,0,0,0,"Jul 22, 2025 · 10:35 AM UTC",4,20,https://nitter.net/AniaRegu/status/1947606399648678096#m
18,Anna_Hev,HAnna Hevert,"Wymiarem sprawiedliwości rządzi PiS, czy KO15X? Wybory wygrał Trzaskowski, czy alfons? ... bo to Polska właśnie.",91,6,25,0,"Jul 22, 2025 · 9:10 AM UTC",16,112,https://nitter.net/Anna_Hev/status/1947584997705322538#m
