id,username,fullname,text,likes,retweets,replies,quotes,date,word_count,text_length,link
729,DeptuM,Z i m n y ☄️ D r a ń,"Donald Tusk i Katarzyna Augustynek to aktualny stan afiszu naszego państwa. Nędza. Kloaka, ale ma niestety swoich otumanionych głównie tefałemicznie fanów. KlOakowcy...🥱 #Polska 🇵🇱 to jednak inna bajka. #Augustynek #tusk #RuchObronyGranic #wybory2025",0,0,0,0,"Jul 19, 2025 · 4:37 PM UTC",32,250,https://nitter.tiekoetter.com/DeptuM/status/1946610363211907552#m
730,allure2989,oh the world... #FBPE,"Ja również mam wrażenie, że wszystko zostało rozstrzygnięte gdzieś poza nami, bez nas ... cc: @donaldtusk @Adbodnar @GiertychRoman @trzaskowski_ #Wybory2025 #WyboryPrezydenckie2025",30,12,1,1,"Jul 19, 2025 · 10:52 AM UTC",21,180,https://nitter.tiekoetter.com/allure2989/status/1946523436982874623#m
731,agntwo1,AgaPolka 🇵🇱,Kiedy ABW łaskawie odpowie na poniższe pytania o nielegalnym finansowaniu kampanii Trzaskowskiego? Obywatele chcą wiedzieć !!!!!!! Domagamy się odpowiedzi !!!! #ABW #PKW #Wybory2025,147,80,3,1,"Jun 23, 2025 · 3:25 PM UTC",23,181,https://nitter.tiekoetter.com/agntwo1/status/1937170167886237717#m
732,Ciepliczanka,Gosia,CZYTASZ i..............WIESZ 🔽 #Wybory2025,0,0,0,0,"Jul 21, 2025 · 1:42 PM UTC",4,42,https://nitter.tiekoetter.com/Ciepliczanka/status/1947291174034673785#m
733,BezpartyjnyJa,Bezpartyjny,Zrobili ze swoich wyborców @ko_klub debili. #Bodnar #Giertych #wybory2025 #sfałszowanewybory #SilniRazem,0,0,0,0,"Jul 21, 2025 · 12:55 PM UTC",11,104,https://nitter.tiekoetter.com/BezpartyjnyJa/status/1947279304326304242#m
734,BezpartyjnyJa,Bezpartyjny,Zrobili ze swoich wyborców @ko_klub debili. #Bodnar #Giertych #wybory2025 #sfałszowanewybory #SilniRazem,0,0,0,0,"Jul 21, 2025 · 12:54 PM UTC",11,104,https://nitter.tiekoetter.com/BezpartyjnyJa/status/1947279134901563561#m
735,Dariusz_Lasocki,Dariusz Lasocki,"‼️Mój raport #mążzaufania przy #PKW (II tura #wybory2025 ) jest w aktach sprawy prokuratorskiej o NIELEGALNE FINANSOWANIE KAMPANII 2025.‼️ 👉 @PK_GOV_PL przesłała mi informację, że dokument ten (61 stron) został dołączony do akt sprawy, zostanie przeanalizowany i zostanie mu nadana odpowiednia waga procesowa. ✍️Przypomnę, że RAPORT jest dostępny na stronie @RadioWNET Artykuł tu: wnet.fm/2025/07/03/maz-zaufa… Plik tu: wnet.fm/wp-content/uploads/2…",95,49,0,2,"Jul 18, 2025 · 1:50 PM UTC",57,449,https://nitter.tiekoetter.com/Dariusz_Lasocki/status/1946205929893949906#m
736,AMatysiak36181,A.M.,To BYŁ najlepszy RZECZNIK RZĄDU! #wybory2025 invidious.tiekoetter.com/shorts/HjTOTR8ni… via @YouTube,1,1,0,0,"Jul 19, 2025 · 5:04 PM UTC",9,100,https://nitter.tiekoetter.com/AMatysiak36181/status/1946617269280284807#m
737,DeptuM,Z i m n y ☄️ D r a ń,"Donald Tusk i Katarzyna Augustynek to aktualny stan afiszu naszego państwa. Nędza. Kloaka, ale ma niestety swoich otumanionych głównie tefałemicznie fanów. KlOakowcy...🥱 #Polska 🇵🇱 to jednak inna bajka. #Augustynek #tusk #RuchObronyGranic #wybory2025",0,0,0,0,"Jul 19, 2025 · 4:37 PM UTC",32,250,https://nitter.tiekoetter.com/DeptuM/status/1946610363211907552#m
738,allure2989,oh the world... #FBPE,"Ja również mam wrażenie, że wszystko zostało rozstrzygnięte gdzieś poza nami, bez nas ... cc: @donaldtusk @Adbodnar @GiertychRoman @trzaskowski_ #Wybory2025 #WyboryPrezydenckie2025",30,12,1,1,"Jul 19, 2025 · 10:52 AM UTC",21,180,https://nitter.tiekoetter.com/allure2989/status/1946523436982874623#m
739,agntwo1,AgaPolka 🇵🇱,Kiedy ABW łaskawie odpowie na poniższe pytania o nielegalnym finansowaniu kampanii Trzaskowskiego? Obywatele chcą wiedzieć !!!!!!! Domagamy się odpowiedzi !!!! #ABW #PKW #Wybory2025,147,80,3,1,"Jun 23, 2025 · 3:25 PM UTC",23,181,https://nitter.tiekoetter.com/agntwo1/status/1937170167886237717#m
740,Ciepliczanka,Gosia,CZYTASZ i..............WIESZ 🔽 #Wybory2025,0,0,0,0,"Jul 21, 2025 · 1:42 PM UTC",4,42,https://nitter.tiekoetter.com/Ciepliczanka/status/1947291174034673785#m
741,BezpartyjnyJa,Bezpartyjny,Zrobili ze swoich wyborców @ko_klub debili. #Bodnar #Giertych #wybory2025 #sfałszowanewybory #SilniRazem,0,0,0,0,"Jul 21, 2025 · 12:55 PM UTC",11,104,https://nitter.tiekoetter.com/BezpartyjnyJa/status/1947279304326304242#m
742,BezpartyjnyJa,Bezpartyjny,Zrobili ze swoich wyborców @ko_klub debili. #Bodnar #Giertych #wybory2025 #sfałszowanewybory #SilniRazem,0,0,0,0,"Jul 21, 2025 · 12:54 PM UTC",11,104,https://nitter.tiekoetter.com/BezpartyjnyJa/status/1947279134901563561#m
743,Dariusz_Lasocki,Dariusz Lasocki,"‼️Mój raport #mążzaufania przy #PKW (II tura #wybory2025 ) jest w aktach sprawy prokuratorskiej o NIELEGALNE FINANSOWANIE KAMPANII 2025.‼️ 👉 @PK_GOV_PL przesłała mi informację, że dokument ten (61 stron) został dołączony do akt sprawy, zostanie przeanalizowany i zostanie mu nadana odpowiednia waga procesowa. ✍️Przypomnę, że RAPORT jest dostępny na stronie @RadioWNET Artykuł tu: wnet.fm/2025/07/03/maz-zaufa… Plik tu: wnet.fm/wp-content/uploads/2…",95,49,0,2,"Jul 18, 2025 · 1:50 PM UTC",57,449,https://nitter.tiekoetter.com/Dariusz_Lasocki/status/1946205929893949906#m
